order_id,customer_id,product_id,order_date,quantity,unit_price,discount_pct,gross_amount,net_amount,payment_method,channel,marketing_source,delivery_days,returned,review_score,segment,city,category
O00001,C0201,P031,2024-06-16,4,165.54,0.18,662.16,542.97,Carte,App,Organique,1.0,0,5.0,Indépendant,Port-au-Prince,Cours
O00002,C0141,P041,2024-06-10,5,46.48,0.14,232.4,199.86,Carte,Web,Réseaux sociaux,0.0,0,4.0,Étudiant,Abidjan,Livre
O00003,C0025,P005,2024-08-29,2,1123.49,0.04,2246.98,2157.1,Virement,Web,Réseaux sociaux,3.0,0,4.0,Étudiant,Cap-Haïtien,Laptop
O00004,C0188,P042,2024-01-27,2,68.31,0.22,136.62,106.56,Carte,Boutique,Partenariat,0.0,0,4.0,Indépendant,Abidjan,Cloud
O00005,C0023,P052,2025-08-06,3,1932.53,0.17,5797.59,4812.0,Carte,Web,Référencement payant,9.0,0,5.0,Professionnel,Cap-Haïtien,Laptop
O00006,C0374,P046,2025-09-03,3,125.59,0.24,376.77,286.35,Mobile Money,Web,Partenariat,1.0,1,4.0,Étudiant,Port-au-Prince,Cours
O00007,C0045,P018,2024-10-01,2,52.97,0.12,105.94,93.23,Cash,Boutique,Réseaux sociaux,2.0,0,,Professionnel,Mirebalais,Cours
O00008,C0347,P022,2025-08-21,2,50.57,0.1,101.14,91.03,Carte,Web,Organique,3.0,0,4.0,Étudiant,Saint-Marc,Livre
O00009,C0290,P058,2025-07-06,1,222.36,0.17,222.36,184.56,Mobile Money,Web,Réseaux sociaux,3.0,0,4.0,Indépendant,Kinshasa,Cloud
O00010,C0494,P048,2025-07-27,2,74.61,0.02,149.22,146.24,Virement,Web,Direct,3.0,0,4.0,Professionnel,Port-au-Prince,Cours
O00011,C0175,P056,2025-07-27,3,144.68,0.16,434.04,364.59,Carte,App,Organique,0.0,0,5.0,Indépendant,Saint-Marc,Logiciel
O00012,C0173,P055,2025-02-14,4,1771.15,0.01,7084.6,7013.75,Mobile Money,App,Organique,3.0,0,3.0,Étudiant,Port-au-Prince,Laptop
O00013,C0122,P027,2024-03-20,4,1016.89,0.06,4067.56,3823.51,Mobile Money,App,Direct,8.0,0,5.0,Professionnel,Port-au-Prince,Laptop
O00014,C0269,P008,2025-10-22,3,68.48,0.27,205.44,149.97,Carte,Boutique,Direct,3.0,0,5.0,Entreprise,Les Cayes,Logiciel
O00015,C0110,P014,2025-03-11,4,120.86,0.09,483.44,439.93,Mobile Money,Web,Organique,1.0,0,5.0,Professionnel,Gonaïves,Cours
O00016,C0057,P018,2025-10-06,3,52.97,0.29,158.91,112.83,Carte,App,Référencement payant,0.0,0,5.0,Professionnel,Saint-Marc,Cours
O00017,C0475,P051,2025-11-16,2,51.59,0.16,103.18,86.67,Mobile Money,Web,Réseaux sociaux,13.0,0,4.0,Étudiant,Jérémie,Accessoire
O00018,C0340,P017,2024-05-13,2,108.73,0.1,217.46,195.71,Virement,Boutique,Réseaux sociaux,1.0,0,5.0,Professionnel,Port-au-Prince,Logiciel
O00019,C0060,P022,2024-10-14,3,50.57,0.08,151.71,139.57,Carte,Boutique,Réseaux sociaux,2.0,0,5.0,Professionnel,Montréal,Livre
O00020,C0310,P052,2024-05-17,2,1932.53,0.05,3865.06,3671.81,Mobile Money,Web,Direct,7.0,0,4.0,Professionnel,Paris,Laptop
O00021,C0153,P010,2024-02-06,4,28.28,0.0,113.12,113.12,Carte,App,Organique,1.0,1,4.0,Professionnel,Gonaïves,Livre
O00022,C0091,P040,2025-11-21,1,141.14,0.28,141.14,101.62,Carte,App,Référencement payant,0.0,0,4.0,Indépendant,Cap-Haïtien,Cloud
O00023,C0236,P034,2025-10-22,1,294.16,0.05,294.16,279.45,Mobile Money,Web,Organique,0.0,0,4.0,Professionnel,Santo Domingo,Logiciel
